dp,depto_nom,anio,pib_miles_millones,pob_total,pib_pc,ln_pib_pc,expulsados_total,recibidos_total,eventos_total,expulsados_adol,tasa_expulsion,tasa_expul_adol,ln_expulsados,ln_expul_adol,expul_acum,cuartil_conflicto,alta_intensidad
08,Atlántico,1999,18932.257612477097,1914068,9891110.24920593,16.10714695707639,325,16096,330,25,0.16979543046537532,0.013061186958875025,5.786897381366708,3.258096538021482,23881,1,0
08,Atlántico,2000,19314.43701174535,1949617,9906785.287441252,16.10873046290727,1425,37303,1440,122,0.7309127895376374,0.06257639320953809,7.262628600974241,4.812184355372417,23881,1,0
08,Atlántico,2001,19714.663308034156,1984146,9936095.07971397,16.11168465232398,1436,30724,1490,90,0.7237370637039815,0.045359565273926414,7.270312886079025,4.51085950651685,23881,1,0
08,Atlántico,2002,19903.611817291458,2017648,9864759.272822345,16.10447929499437,1470,31318,1485,110,0.7285710887131948,0.054518925005749265,7.293697720601438,4.709530201312334,23881,1,0
08,Atlántico,2003,20398.53589495352,2050266,9949214.343384478,16.11300414555336,1731,19301,1747,169,0.8442806933344259,0.08242832881196879,7.4570320891223805,5.135798437050262,23881,1,0
08,Atlántico,2004,21367.54004828996,2082198,10262011.609025637,16.14395944174687,1956,20334,2007,178,0.9393919310267324,0.08548658677032635,7.579167967396076,5.187385805840755,23881,1,0
08,Atlántico,2005,22121.967036274447,2114136,10463833.469689012,16.163435437958537,1782,22965,1803,187,0.8428975240949494,0.08845220931860581,7.48605261786314,5.236441962829949,23881,1,0
08,Atlántico,2006,23862.690923275135,2144799,11125840.194477495,16.224780906263952,1630,13802,1644,154,0.7599779746260605,0.0718016000566953,7.396948602621014,5.043425116919247,23881,1,0
08,Atlántico,2007,26106.040803478056,2174988,12002843.603494849,16.300654146637942,1643,9162,1651,169,0.7554064666103906,0.07770157812364942,7.404887575616125,5.135798437050262,23881,1,0
08,Atlántico,2008,26748.374341116687,2204364,12134281.97027201,16.3115452252457,1336,6661,1359,151,0.6060705037824969,0.06850048358619537,7.198183577101943,5.0238805208462765,23881,1,0
08,Atlántico,2009,26735.527670363914,2233274,11971449.840173626,16.2980351930209,679,3467,680,88,0.30403792817182307,0.039404031928012416,6.522092798170152,4.48863636973214,23881,1,0
08,Atlántico,2010,26632.75430434173,2261656,11775775.937782638,16.281555092747244,718,3125,720,100,0.31746649357815687,0.04421538907773773,6.577861357721047,4.61512051684126,23881,1,0
08,Atlántico,2011,28126.179779351547,2288947,12287824.829212535,16.324119478832802,717,3399,725,111,0.31324447442426584,0.048493914450618555,6.576469569048224,4.718498871295094,23881,1,0
08,Atlántico,2012,30066.027063020214,2315361,12985459.746026738,16.37934080838419,780,2477,781,132,0.3368805123693454,0.05701054824712,6.660575149839686,4.890349128221754,23881,1,0
08,Atlántico,2013,31663.831737896304,2341335,13523836.502634738,16.419964353313198,998,2872,1002,156,0.4262525439546242,0.06662865416525188,6.906754778648554,5.056245805348308,23881,1,0
08,Atlántico,2014,33772.29157519511,2366899,14268581.623125916,16.473570588796463,964,2744,972,159,0.4072839609970683,0.06717650394038782,6.872128101338986,5.075173815233827,23881,1,0
08,Atlántico,2015,35716.29568989337,2393557,14921848.817426687,16.518337060440135,762,1589,780,119,0.3183546495863687,0.049716802231991965,6.637258031284457,4.787491742782046,23881,1,0
08,Atlántico,2016,36347.380065247504,2427046,14975974.936300136,16.52195780410704,555,983,564,85,0.22867304533989055,0.035021997934938195,6.320768294250582,4.454347296253507,23881,1,0
08,Atlántico,2017,36779.304586598766,2468429,14899883.523730585,16.516863953685842,576,1705,590,94,0.23334679668728572,0.03808090084827232,6.3578422665081,4.553876891600541,23881,1,0
08,Atlántico,2018,37609.64597709261,2535506,14833191.472271258,16.51237789475552,391,2072,403,54,0.15420985002599089,0.021297524044510244,5.971261839790462,4.007333185232471,23881,1,0
